session_id,mouse_id,latency_cross_mouse_tau,latency_split_half_tau,latency_resolvable_pair_fraction,lead_lag_cross_mouse_agreement,lead_lag_split_half_agreement,lead_lag_shifted_cross_mouse_agreement,lead_lag_nonzero_pair_fraction
1048196054,524925,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9333333333,0.5333333333,0.0000000000
1055221968,533537,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.8000000000,0.0000000000
1064644573,544456,0.0000000000,0.9428090416,0.3333333333,0.6666666667,1.0000000000,0.6666666667,0.3333333333
1065437523,544358,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.7333333333,0.0000000000
1065908084,544838,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.8000000000,0.0000000000
1067588044,544836,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.4666666667,0.0000000000
1081431006,548721,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.5333333333,0.0000000000
1087992708,556014,0.0000000000,0.8181818182,0.3333333333,1.0000000000,1.0000000000,0.8666666667,0.0000000000
1090800639,555304,0.0000000000,0.0000000000,0.0000000000,0.8000000000,1.0000000000,0.7333333333,0.2000000000
1090803859,553960,0.0000000000,0.0000000000,0.0000000000,0.7333333333,1.0000000000,0.2000000000,0.2666666667
1091039902,555304,0.0000000000,0.0000000000,0.0000000000,0.9333333333,1.0000000000,0.7333333333,0.0666666667
1092466205,560771,0.0000000000,1.0000000000,0.0000000000,0.6666666667,1.0000000000,0.3333333333,0.3333333333
1093642839,553253,0.0000000000,1.0000000000,0.5333333333,1.0000000000,0.9333333333,0.8666666667,0.0000000000
1096620314,560770,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.8000000000,0.0000000000
1111013640,568963,0.0000000000,0.0000000000,0.0000000000,0.9333333333,0.9333333333,0.3333333333,0.0666666667
1115368723,574078,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.5333333333,0.0000000000
1118508667,574082,0.0000000000,1.0000000000,0.0000000000,0.6666666667,1.0000000000,0.3333333333,0.3333333333
1119946360,578003,0.0000000000,0.0000000000,0.3333333333,0.9333333333,1.0000000000,0.8000000000,0.0666666667
1120251466,578003,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.6666666667,0.0000000000
1122903357,570302,0.0000000000,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.6000000000,0.0000000000
1125713722,578257,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.8666666667,0.0000000000
